ID,GEOHASH,MAC,GEOLOCATION,LATITUDE,LONGITUDE
TANGARA_06BE,d29e6de,D29TTGOTD906BE,3.3982086181640625 -76.52595520019531,3.3982086181640625,-76.52595520019531
TANGARA_14D6,d29eg4k,D29ESP32DED14D6,3.4847259521484375 -76.50260925292969,3.4847259521484375,-76.50260925292969
TANGARA_1712,d29dfx4,D29ESP32DEE1712,3.3350372314453125 -76.52732849121094,3.3350372314453125,-76.52732849121094
TANGARA_260A,d29edyj,D29ESP32DE1260A,3.4613800048828125 -76.51222229003906,3.4613800048828125,-76.51222229003906
TANGARA_2B42,d29e6pg,D29ESP32DED2B42,3.4270477294921875 -76.54792785644531,3.4270477294921875,-76.54792785644531
TANGARA_2BBA,d29e6b4,D29ESP32DE02BBA,3.3844757080078125 -76.51634216308594,3.3844757080078125,-76.51634216308594
TANGARA_2BDE,d29dbmw,D29ESP32DE52BDE,3.3267974853515625 -76.62071228027344,3.3267974853515625,-76.62071228027344
TANGARA_2E9A,d29ed62,D29ESP32DED2E9A,3.4407806396484375 -76.54106140136719,3.4407806396484375,-76.54106140136719
TANGARA_2FF6,d29e66v,D29ESP32DED2FF6,3.3995819091796875 -76.53419494628906,3.3995819091796875,-76.53419494628906
TANGARA_307A,d29e48s,D29ESP32DED307A,3.3432769775390625 -76.52458190917969,3.3432769775390625,-76.52458190917969
TANGARA_39D6,d29dbmw,D29ESP32DE539D6,3.3267974853515625 -76.62071228027344,3.3267974853515625,-76.62071228027344
TANGARA_3B7E,d29dbmw,D29ESP32DE53B7E,3.3267974853515625 -76.62071228027344,3.3267974853515625,-76.62071228027344
TANGARA_3BEA,d29dbmw,D29ESP32DE53BEA,3.3267974853515625 -76.62071228027344,3.3267974853515625,-76.62071228027344
TANGARA_421A,d29dbmw,D29ESP32DE5421A,3.3267974853515625 -76.62071228027344,3.3267974853515625,-76.62071228027344
TANGARA_48C6,d29ee19,D29TTGOT7D48C6,3.4366607666015625 -76.50672912597656,3.4366607666015625,-76.50672912597656
TANGARA_4B1A,d29esj8,D29ESP32DE94B1A,3.4586334228515625 -76.46415710449219,3.4586334228515625,-76.46415710449219
TANGARA_532E,d29ed74,D29TTGOT7D532E,3.4449005126953125 -76.53831481933594,3.4449005126953125,-76.53831481933594
TANGARA_5636,d29dbmz,D29ESP32DE85636,3.3281707763671875 -76.61933898925781,3.3281707763671875,-76.61933898925781
TANGARA_5D62,d29dbmw,D29ESP32DE75D62,3.3267974853515625 -76.62071228027344,3.3267974853515625,-76.62071228027344
TANGARA_D282,d29dbmw,D29ESP32DE8D282,3.3267974853515625 -76.62071228027344,3.3267974853515625,-76.62071228027344
TANGARA_F1AE,d29eg69,D29TTGOTD8F1AE,3.4860992431640625 -76.49574279785156,3.4860992431640625,-76.49574279785156
